"class" "test" "dei_paschi" "mont_dei" "danish" "dei" "dutch" "nordlb" "rescu" "brexit" "denmark" "fine" "deposit" "nordea" "estonia" "incom" "swedish" "foreign" "tax" "prosecutor" "suspici" "combin" "ing" "offer" "control" "mont" "show" "paschi" "industri" "member" "save" "inform" "branch" "restructur" "baltic" "ratio" "analyst" "banca" "pai" "commiss" "target" "sector" "term" "privat" "economi" "region" "tuesdai" "econom" "larg" "mondai" "start" "person" "fridai" "custom" "involv" "face" "estonian" "servic" "system" "stake" "recent" "continu" "fail" "offici" "minist" "result" "account" "net" "discuss" "sell" "declin_comment" "intern" "decis" "nation" "supervisori" "debt" "top" "unicredit" "familiar" "crisi" "rais" "set" "increas" "requir" "work" "credit" "sale" "wednesdai" "global" "thursdai" "quarter" "ag" "europ" "loss" "move" "issu" "ceo" "ad" "statement" "bad" "job" "close" "sew" "hold" "interest" "revenu" "head" "chief_execut" "meet" "client" "back" "reuter" "week" "dansk_bank" "firm" "transact" "largest" "alleg" "base" "potenti" "offic" "union" "call" "biggest" "scandal" "rule" "equiti" "sharehold" "sourc" "invest_bank" "group" "rate" "part" "told" "declin" "talk" "case" "matter" "bond" "oper" "board" "end" "million_euro" "germani" "month" "compani" "unit" "expect" "make" "profit" "chief" "cut" "time" "financ" "comment" "itali" "central_bank" "includ" "italian" "regul" "investig" "swedbank" "cost" "ecb" "carig" "trade" "author" "countri" "central" "german" "risk" "state" "peopl" "asset" "share" "execut" "investor" "merger" "fund" "invest" "deal" "manag" "commerzbank" "eu" "loan" "dansk" "govern" "monei_launder" "busi" "billion_euro" "million" "plan" "market" "launder" "report" "capit" "percent" "monei" "european" "financi" "lender" "billion" "deutsch_bank" "year" "euro" "deutsch" "bank"
"1427" 1 0 0 0 0 0 0 0 0 0 0 0 2.74034866366636 0 0 0 0 0 0 0 0 2.45139836022658 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.07160860345865 0 0 0 0 0 0 0 0 0 0 6.02584646733367 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.70548558561393 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.87615304367561 0 0 0 1.62412585698961 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.45969686587222 1.73662363240253 0 0 0 0 1.96209547347633 2.26939371042308 0 0 0 0 0 0 0 0 0 1.40081606845451 0 0 0 1.41555176710826 0 0 0 0 0 0 0 0 0 1.3166900558016 0 0 0 1.15142429106536 0 0 2.1880712432814 0 0 0 0 0 0 0 0 0 0 0.0888598614609919
"1428" 1 0 0 0 0 0 0 0 0 0 0 0 2.74034866366636 0 0 0 0 0 0 0 0 0 0 0 2.28698009492516 0 0 0 0 0 0 0 0 0 0 4.53878742084616 0 4.35711949839325 0 0 0 0 0 0 0 0 0 0 0 0 6.21482581037595 0 0 0 0 0 0 0 0 0 0 2.00861548911122 1.93111192795636 0 0 0 0 0 0 0 0 0 0 0 0 0 1.85394165991289 0 0 0 5.8967943120826 1.87188409375603 1.90105958288996 3.92186130196007 0 0 2.05356687697349 0 0 0 0 0 1.96911304613498 1.91987585468944 1.9988948779406 7.621820777452 0 0 0 0 0 0 0 0 0 0 0 3.16043272874809 5.47522102773612 0 3.4844413238785 3.97375100494964 0 0 0 0 3.42182110742158 0 1.66138672962454 0 0 0 8.29400817776218 0 0 0 9.70666741013951 7.44938028283708 0 2.10063438783148 0 0 1.50958071675654 0 0 0 0 0 9.7988359185837 0 0 1.49778986534523 9.02974392501179 0 0 0 0 0 3.06262511476775 1.69294061822585 2.74784076726489 0 0 0 0 3.41277541131413 5.76610901404609 1.45969686587222 8.68311816201265 1.59706393494666 0 0 0 9.81047736738165 27.232724525077 1.79405568148841 1.56364793802681 1.40681808713951 5.40101769854677 0 0 0 0 2.97372158962609 1.40081606845451 2.55545596113686 0 0 2.83110353421652 1.49413355414212 0 0 0 0 0 0 1.35659559997514 0 0 2.58745664382974 7.41261196607222 6.08914919493681 1.15142429106536 0 0 6.56421372984419 9.14023388166459 1.2955220443689 2.74838075488093 0 1.48158242559751 1.94599262958108 0 2.31768624555054 5.9929015119794 0 1.42175778337587
"1431" 1 0 0 0 0 0 0 0 0 0 5.50624045869169 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.1727877273995 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.99286713214308 0 0 0 0 0 0 0 0 0 2.01843151884888 0 0 0 0 0 0 0 0 0 1.88259083415045 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.83631549077829 0 0 1.86023758836971 0 0 0 0 0 0 0 0 2.05484483241898 0 0 0 0 3.32277345924908 0 0 0 0 0 2.05868852709354 0 0 0 0 0 0 0 0 0 0 0 1.90876462926437 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.12729587605363 1.40681808713951 0 0 0 0 1.77261236473477 0 0 0 0 0 0 0 0 0 0 0 0 2.01106047810429 0 1.63920151939506 1.3166900558016 0 0 0 0 1.60600344998547 0.988283793123251 0 0 1.2955220443689 0 0.918586944134505 0 0 0 0 0 0 0.266579584382976
"1436" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.43256541189349 0 0 0 0 0 0 2.17855974919662 0 0 0 0 0 0 4.37748331068348 0 0 0 0 0 0 2.40134157144196 0 0 0 0 0 0 0 0 0 0 1.93111192795636 0 5.97860139642925 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.96559810402753 0 0 0 0 0 0 1.82202953353081 0 0 0 0 0 0 0 0 0 0 3.41277541131413 0 0 1.83631549077829 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.66138672962454 0 1.72552268584308 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.70638770565706 1.44152725351152 0 0 0 0 0 0 0 4.53878742084616 0 0 0 1.35025442463669 0 0 0 0 0 0 0 0 0 0 0 0 1.32775347534586 0 0 0 0 1.35659559997514 0 0 0 0 0 0 0 0 2.1880712432814 0 0 0.916126918293643 0 0.740791212798755 0 0 0 0 0 0.177719722921984
"1440" 1 0 0 0 0 0 0 0 0 0 0 0 5.48069732733272 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.22901555447968 0 2.43256541189349 0 0 2.31976991774815 0 0 0 2.17855974919662 0 0 0 0 0 0 2.18874165534174 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.78656377196414 0 3.86222385591273 0 1.99286713214308 0 0 0 0 2.05101585518188 0 0 0 0 0 0 5.56182497973868 0 0 0 5.8967943120826 0 0 1.96093065098004 0 0 0 1.82202953353081 0 5.42083887395845 0 0 0 1.91987585468944 0 1.905455194363 1.94361919730876 6.8219423424557 0 2.03584489417408 0 0 0 0 0 0 0 0 1.82507367591204 0 1.74222066193925 0 0 0 0 0 1.71091055371079 0 0 0 0 0 3.31760327110487 1.61173412469445 0 0 0 5.58703521212781 2.06771502293952 0 0 0 0 1.52376535174849 0 1.87615304367561 0 1.56756797440689 9.7988359185837 0 0 0 3.61189757000471 0 2.87338264016021 0 0 0 0 0 0 0 1.52076234648872 0 0 5.11916311697119 1.44152725351152 0 1.73662363240253 0 0 0 0 5.88628642042899 15.8857559729616 0 0 1.40681808713951 1.35025442463669 0 0 0 0 1.48686079481304 4.20244820536352 0 1.43325134420766 5.10296145743119 1.41555176710826 0 0 1.32775347534586 0 0 3.14616394052034 0 1.35659559997514 0 0 3.88118496574462 2.96504478642889 3.65348951696209 0 0 0 6.56421372984419 1.30574769738066 1.2955220443689 0.916126918293643 0.918586944134505 2.96316485119502 2.91898894437162 0 2.31768624555054 5.13677272455377 0 0.533159168765952
"1442" 1 0 0 0 0 0 0 0 0 0 0 0 2.74034866366636 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.17855974919662 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.93111192795636 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.96559810402753 0 0 0 0 0 0 1.82202953353081 0 1.80694629131948 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.06771502293952 0 0 0 0 0 0 0 1.90876462926437 0 1.95976718371674 0 0 0 1.80594878500236 0 0 0 0 0 0 0 0 0 0 0 0 1.70638770565706 1.44152725351152 0 0 0 0 0 0 0 6.80818113126924 0 0 0 1.35025442463669 0 0 0 0 0 0 0 0 0 1.41555176710826 0 0 0 0 0 0 0 0 0 0 1.29372832191487 1.48252239321444 0 0 0 0 1.0940356216407 0 0 0.916126918293643 0 0 0.972996314790539 0 0.77256208185018 1.71225757485126 0 0.0888598614609919
"1445" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.43256541189349 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.01106047810429 0 0 0 0 0 0 0 0 2.00861548911122 1.93111192795636 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.96559810402753 0 0 0 1.88259083415045 0 0 1.82202953353081 0 0 0 0 0 0 0 0 0 0 0 4.07168978834816 0 0 0 0 0 0 0 0 0 0 0 1.98687550247482 0 0 0 0 0 0 1.66138672962454 0 0 0 0 0 0 0 0 0 2.06771502293952 0 0 0 0 1.52376535174849 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.70638770565706 1.44152725351152 0 0 0 0 0 0 0 4.53878742084616 0 0 0 1.35025442463669 0 0 0 0 0 0 0 0 1.70098715247706 0 0 0 0 0 0 3.14616394052034 0 0 0 0 0 0 0 0 0 0 2.1880712432814 0 0 0.916126918293643 0 1.48158242559751 0 0 0 0 0 0.355439445843968
"1448" 1 0 9.04876799872082 9.04876799872082 0 9.02876792464625 0 0 7.74990458990293 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.90191976116812 0 8.90191976116812 0 0 2.43256541189349 0 0 0 0 0 0 2.17855974919662 0 0 0 0 0 0 0 2.22143401702728 0 0 0 0 0 0 4.02212095620858 0 2.01843151884888 0 0 0 0 0 1.92885459065471 2.00861548911122 1.93111192795636 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.96559810402753 0 0 0 1.88259083415045 0 0 1.82202953353081 0 1.80694629131948 2.03961611171716 0 0 0 0 0 0 1.70548558561393 0 6.10753468252223 0 1.83631549077829 0 0 1.86023758836971 0 0 1.58021636437405 0 0 1.74222066193925 1.98687550247482 0 0 0 0 1.71091055371079 0 3.32277345924908 3.45104537168617 0 1.75256396054605 0 0 0 1.88366784017809 0 0 8.27086009175807 0 0 0 0 1.52376535174849 0 1.87615304367561 0 1.56756797440689 0 0 0 1.49778986534523 0 0 0 0 0 0 1.53131255738388 0 1.37392038363245 0 0 0 0 3.41277541131413 1.44152725351152 1.45969686587222 3.47324726480506 1.59706393494666 0 0 0 0 11.3469685521154 0 0 0 1.35025442463669 0 0 2.982436200364 0 0 0 1.27772798056843 0 6.80394860990825 1.41555176710826 0 1.45057079340784 0 0 0 7.86540985130086 0 2.71319119995028 0 0 1.29372832191487 0 0 0 0 0.988283793123251 2.1880712432814 1.30574769738066 0 1.83225383658729 0 3.70395606399377 0.972996314790539 0 0.77256208185018 0.856128787425629 0 0.799738753148927
"1449" 1 0 0 0 0 0 0 0 2.58330152996764 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.30981958689498 0 0 0 0 0 0 0 0 0 2.31976991774815 0 4.53878742084616 0 2.17855974919662 2.25679511858676 0 0 0 0 2.06125922259665 0 0 0 0 0 0 0 0 0 0 4.03686303769776 3.89182029811063 0 0 0 0 1.92885459065471 0 3.86222385591273 0 0 0 0 0 0 4.10203171036377 0 0 0 0 0 6.59708490015605 0 0 1.95976718371674 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.07168978834816 0 0 0 0 0 0 0 1.58021636437405 0 0 0 1.98687550247482 0 0 0 0 0 0 0 0 0 0 1.65880163555244 0 0 0 0 1.86234507070927 0 0 0 0 0 0 0 1.87615304367561 0 1.56756797440689 1.95976718371674 0 0 1.49778986534523 12.6416414950165 0 0 0 0 0 0 0 1.37392038363245 0 0 0 0 5.11916311697119 2.88305450702304 0 1.73662363240253 0 0 0 0 0 22.6939371042308 0 0 0 2.70050884927339 0 0 2.982436200364 1.77261236473477 1.48686079481304 0 1.27772798056843 2.86650268841532 0 0 0 1.45057079340784 1.32775347534586 0 0 9.43849182156103 0 4.06978679992542 0 0 5.17491328765949 10.3776567525011 0 0 0 0.988283793123251 3.28210686492209 9.14023388166459 1.2955220443689 1.83225383658729 0 2.22237363839626 3.89198525916216 0 0 9.41741666168191 0 0.622019030226943
"1456" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.22901555447968 0 2.43256541189349 0 0 0 0 0 0 2.17855974919662 0 0 0 0 0 0 2.18874165534174 0 0 0 0 2.01228521800019 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.99286713214308 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.905455194363 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.72736430698973 0 0 0 0 0 1.66138672962454 0 0 0 0 1.61173412469445 0 0 0 0 2.06771502293952 0 0 0 1.50958071675654 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.56756797440689 1.370689363051 0 1.44152725351152 0 1.73662363240253 0 0 0 0 1.96209547347633 4.53878742084616 0 0 0 1.35025442463669 0 0 1.491218100182 0 0 1.40081606845451 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.988283793123251 0 0 0 0.916126918293643 0 0 0 0 0 0 0 0.177719722921984
