"class" "eu_million" "nordlb" "trump" "santand" "ing" "mr" "estonia" "euro_zone" "banker" "zone" "court" "estim" "fine" "deposit" "prosecutor" "polici" "portfolio" "role" "banca" "region" "test" "secur" "leav" "law" "support" "denmark" "institut" "italian_bank" "clear" "supervis" "stock" "lower" "process" "person" "european_bank" "chairman" "inform" "involv" "concern" "measur" "price" "march" "public" "point" "branch" "britain" "estonian" "fridai" "mondai" "reduc" "industri" "privat" "show" "propos" "bad_loan" "growth" "european_union" "larg" "alleg" "presid" "fail" "discuss" "offer" "stake" "analyst" "pai" "posit" "rais" "start" "face" "familiar" "tuesdai" "account" "commiss" "economi" "london" "target" "sew" "recent" "made" "earlier" "declin_comment" "supervisori" "tax" "nordea" "swedbank" "unicredit" "level" "member" "incom" "ag" "sale" "result" "sell" "term" "econom" "perform" "nation" "servic" "custom" "job" "top" "close" "continu" "decis" "remain" "thursdai" "loss" "scandal" "revenu" "sector" "ad" "talk" "ratio" "offici" "ceo" "hold" "wednesdai" "transact" "requir" "minist" "work" "set" "system" "dansk_bank" "largest" "chief_execut" "invest_bank" "intern" "client" "net" "global" "european_central" "statement" "back" "issu" "potenti" "sharehold" "move" "week" "increas" "reuter" "brexit" "equiti" "meet" "head" "crisi" "europ" "biggest" "bad" "credit" "quarter" "firm" "offic" "call" "germani" "carig" "debt" "matter" "base" "sourc" "oper" "part" "cut" "interest" "case" "told" "merger" "group" "declin" "union" "unit" "make" "commerzbank" "million_euro" "bond" "board" "comment" "investig" "rule" "financ" "chief" "compani" "expect" "time" "profit" "end" "german" "month" "cost" "rate" "state" "trade" "author" "includ" "itali" "regul" "peopl" "italian" "share" "countri" "asset" "investor" "deal" "execut" "monei_launder" "invest" "fund" "dansk" "central_bank" "risk" "manag" "billion_euro" "busi" "central" "launder" "ecb" "govern" "plan" "million" "report" "loan" "monei" "market" "capit" "deutsch_bank" "eu" "lender" "percent" "financi" "billion" "deutsch" "european" "euro" "year" "bank"
0 0 0 0 0 0 0 5.7511648992506 0 0 0 0 0 0 0 5.99321816405505 0 0 0 0 0 0 0 0 0 0 2.78168636385817 0 0 0 0 0 0 0 0 0 0 2.29763098115679 0 0 0 0 0 0 0 0 0 2.68295152317248 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.10758737826892 0 0 2.03124975078793 0 0 0 0 0 0 0 1.97706531683511 0 0 0 0 0 0 0 0 2.08383329226081 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.52107371350109 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.8211079517829 0 2.06984705028608 0 0 1.87107208998882 0 0 0 0 0 0 0 0 1.80855173300749 0 0 0 0 0 1.71178418107249 0 0 0 0 0 0 1.61912535058979 0 0 0 0 0 0 0 0 0 0 3.00990841049962 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.5857647514956 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.43875756851408 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.37875083243375 0 0 0 0 0 0 0 0 0 0 0.325542354268089
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10.435374204075 0 0 0 0 0 0 0 2.38887965262193 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.19023764934954 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.10758737826892 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.25495025004191 0 4.36487053813071 0 0 4.22481332940974 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.29862244328064 0 0 9.76032007314846 0 0 0 0 0 0 0 0 0 0 0 0 0 2.26334190767815 0 0 0 0 0 0 0 0 0 1.85227454402132 6.20954115085823 0 2.08618346960577 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6.95871081597991 0 0 1.76495284895317 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.6445187986785 0 0 0 1.56041128080914 0 0 0 0 0 0 0 0 0 0 0 0 0 3.0337339735321 0 0 0 0 0 0 0 0 3.38659111746465 0 0 0.932637462119821 0 0
0 0 0 0 0 0 0 5.7511648992506 0 0 0 0 0 0 0 2.99660908202753 0 0 0 0 0 0 0 0 0 0 5.56337272771635 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.64828421341024 2.55102398012994 0 16.0977091390349 0 0 0 0 0 0 0 0 0 0 0 4.94369190083551 0 0 0 0 0 0 0 0 0 2.10758737826892 2.04244807609796 0 6.09374925236379 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6.98139493666045 0 0 1.86351061728825 0 0 0 0 0 0 2.154336357843 0 0 0 0 0 11.3026842837527 0 0 0 1.96448653462825 0 0 0 0 0 1.89022976402176 1.95825598487761 0 0 1.99838808630393 0 0 0 0 0 0 0 0 1.92366454010799 1.75476600364618 0 0 0 0 1.80855173300749 0 0 0 0 0 0 0 0 0 0 0 9.92769971913041 0 0 1.73967770399498 0 0 3.52990569790635 0 0 0 0 0 3.00990841049962 10.078899145079 1.81930452478375 0 0 0 0 0 1.72481368136283 0 0 0 0 0 0 0 3.17152950299119 0 0 0 0 0 0 2.91232808216075 0 1.55624749963736 0 0 3.72325829837708 0 0 19.9744090583133 0 0 1.41925948414493 0 0 0 7.34261465114112 0 0 0 3.01254172226911 0 0 6.01981682099923 0 1.18937541621687 0 0 0 0 0 2.2577274116431 0 0 0 0.766783343315908 0.868112944714904
0 0 0 0 0 0 0 0 0 0 0 0 2.74010993701243 0 0 0 0 2.60884355101876 0 0 0 2.97921733931566 0 0 0 0 0 0 0 0 0 0 2.27464146293209 0 0 0 0 0 2.26897572539641 0 0 0 2.28894785858333 2.23018970036125 2.32414210670512 0 0 0 0 0 6.57071294804862 0 4.38570405984722 0 0 2.44117915202478 0 0 4.24423095766366 0 0 0 0 0 0 0 0 0 2.1568584272757 0 2.04244807609796 0 0 0 0 2.18243526906535 0 6.63403983767932 0 0 0 0 0 4.3036412664915 5.27402885597092 0 0 0 0 0 0 0 0 2.01797521957924 0 4.1212607903623 0 4.22481332940974 0 0 0 0 0 0 0 0 0 0 2.12455748248738 0 0 0 0 0 4.29862244328064 0 0 0 0 0 6.12734422829388 0 0 0 0 0 0 0 0 3.9289730692565 0 0 0 0 0 0 0 1.86728420667189 0 0 0 0 0 0 2.08618346960577 0 0 0 0 0 2.09326732449417 2.0583394434346 0 0 0 1.76837165570196 0 0 0 0 0 0 0 1.65516528707299 0 0 0 0 0 0 0 0 0 0 0 0 0 1.82472459225309 0 0 1.81930452478375 0 0 0 0 0 1.72481368136283 1.49318166902454 0 0 1.6628399218261 0 3.31033057414597 0 0 0 0 0 0 0 0 0 4.64803848299 1.55624749963736 0 0 0 0 3.12082256161828 0 0 1.47386361817978 2.83851896828985 0 0 0 0 1.76154569063156 1.38600226238844 0 0 1.06415582233282 3.0337339735321 0 1.16192456808244 8.32562791351811 0 1.59148722776966 0 4.26140383051948 0 1.12886370582155 0 0 0 0 1.19365529898299
0 0 0 0 0 0 0 0 0 0 0 2.97921733931566 0 0 0 0 0 0 0 2.48929840036898 0 0 0 0 0 0 0 0 0 0 0 2.3952694507207 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.12211547883183 0 0 0 0 0 0 0 0 0 0 0 0 0 2.03124975078793 0 0 0 0 2.21134661255977 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.99838808630393 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.17469329491174 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.70212227016076 0 0 0 0 0 0 0 0 0 0 0 0 1.73967770399498 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.217028236178726
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.72744218597155 0 0 0 0 0 0 0 2.3952694507207 0 2.28894785858333 0 2.1568584272757 0 0 0 0 0 0 0 0 6.63403983767932 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.25495025004191 6.05392565873771 2.18243526906535 0 0 0 0 0 0 0 6.04076774290794 0 0 0 0 0 0 0 2.3952694507207 2.08853918329823 3.72702123457649 0 2.14931122164032 0 2.04922776308334 0 1.84300663709054 0 0 0 0 1.89022976402176 0 0 0 1.72809775656402 2.37622125575001 0 0 0 0 0 0 1.89022976402176 0 1.86728420667189 2.08383329226081 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.76837165570196 0 0 0 0 0 0 3.52309138126312 1.65516528707299 0 1.74803197146484 0 1.61912535058979 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.45116403066367 1.70212227016076 1.52623160369709 1.55210098367551 3.44962736272566 0 0 0 0 0 0 0 0 1.41925948414493 1.73967770399498 0 0 1.82653782937727 4.65630295102653 0 3.09869232199333 0 0 1.38600226238844 0 1.60158104093888 0 0 0 0 4.25777845243478 5.96752849472982 1.40844856804071 0 0 0 0 1.24970017896482 0 1.06415582233282 0 0 1.16192456808244 2.37875083243375 0 0 0 9.94327560454546 0 5.64431852910774 0 0 4.66318731059911 5.36748340321136 0.759598826625541
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.36372109298578 0 0 0 0 0 4.60108438272849 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.01797521957924 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.68601327418108 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.75139331916754 0 0 0 0 0 0 0 0 2.53615381765048 0 0 0 0 0 0 0 2.0583394434346 0 3.99247046588566 0 0 0 0 0 0 0 0 1.76154569063156 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.55210098367551 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.6445187986785 0 0 3.20316208187776 0 0 2.63433033254744 0 0 0 0 2.50757197297481 0 0 0 0 0 1.06415582233282 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.217028236178726
0 0 0 0 0 0 0 0 0 0 0 0 2.74010993701243 0 0 0 0 2.60884355101876 0 0 2.43116237378131 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.24386980426533 0 2.28894785858333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.19547326340348 0 0 2.3952694507207 2.28320071632776 0 0 0 0 0 0 0 0 0 0 0 2.21134661255977 0 0 0 4.00974919106707 0 0 0 0 0 0 0 0 7.23427467282896 0 0 2.01797521957924 0 0 0 0 0 0 0 0 0 0 1.98341454451377 0 0 0 0 0 11.9763472536035 0 0 2.17469329491174 2.14931122164032 0 2.04922776308334 0 1.84300663709054 0 0 0 0 1.89022976402176 0 0 0 1.72809775656402 0 0 0 2.26334190767815 2.03124975078793 0 1.75139331916754 0 0 0 0 0 0 0 0 0 2.08618346960577 0 0 0 0 0 0 0 6.1004382183456 0 1.80855173300749 0 0 0 0 0 1.71178418107249 0 1.76154569063156 0 1.9541237475927 1.74803197146484 0 0 0 1.73967770399498 1.61471033238067 0 1.76495284895317 0 0 3.79599358671883 0 0 0 0 0 0 1.45116403066367 0 0 1.55210098367551 3.44962736272566 1.49318166902454 0 0 6.65135968730438 1.92767256150553 1.65516528707299 0 0 1.41925948414493 0 0 0 1.82653782937727 0 0 4.64803848299 0 0 1.38600226238844 0 0 0 0 0 0 4.25777845243478 4.47564637104737 1.40844856804071 0 0 0 0 2.49940035792964 3.01254172226911 1.06415582233282 0 0 1.16192456808244 2.37875083243375 0 0 0 5.68187177402598 2.78457903107819 3.38659111746465 0 0 4.66318731059911 3.06713337326363 0.542570590446815
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.54928292586418 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.11240666470487 0 7.23427467282896 0 0 0 0 0 0 4.22481332940974 0 0 0 0 0 0 0 0 1.93573712134226 0 0 0 0 0 0 0 0 0 0 0 1.84300663709054 0 0 0 0 0 0 0 1.84300663709054 0 0 0 0 2.26334190767815 0 0 1.75139331916754 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.76154569063156 0 0 0 0 0 0 1.73967770399498 0 0 0 0 0 1.89799679335942 0 0 0 0 0 0 0 3.40424454032152 6.10492641478837 0 5.17444104408849 0 0 0 1.6628399218261 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.20316208187776 0 0 0 0 0 1.49188212368246 0 0 0 0 0 0 1.50627086113456 1.06415582233282 0 0 0 0 0 0 0.913519232762214 2.84093588701299 0.928193010359397 1.12886370582155 0 0 1.86527492423964 3.06713337326363 0.108514118089363
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.30054219136425 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.20868349514029 0 0 0 0 2.12211547883183 0 0 0 0 0 0 0 0 0 0 0 0 2.1798479455004 0 0 0 0 0 0 0 0 0 0 1.95618773181355 0 0 0 0 0 0 0 0 0 0 0 4.36487053813071 0 0 0 0 0 0 0 0 1.97706531683511 0 0 0 0 0 0 0 0 1.86351061728825 2.17469329491174 0 0 0 0 0 0 0 0 0 0 0 0 1.84300663709054 0 0 0 0 0 0 0 0 0 0 0 0 0 1.8211079517829 0 0 0 0 1.87107208998882 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6.52407988473522 0 0 0 0 0 0 0 0 1.61471033238067 0 5.29485854685952 0 0 0 0 0 1.50495420524981 0 0 0 0 0 1.52623160369709 0 0 1.49318166902454 0 1.45116403066367 0 0 0 0 0 0 0 0 0 0 0 0 1.54934616099667 0 4.9335563960355 0 0 0 0 0 2.63433033254744 0 0 0 0 2.50757197297481 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.2577274116431 0 0 0 0 0.651084708536178
